,accuracy,loss,val_accuracy,val_loss
40,[0.5988228],[2.04906466114765],[0.4398387670516968],[3.2026233673095703]
41,[0.60179067],[2.042820938960378],[0.45337381958961487],[3.1105074882507324]
42,[0.6000646],[2.0394550402501266],[0.4504876732826233],[3.4884674549102783]
43,[0.60079724],[2.036538303194476],[0.4771098792552948],[3.125943660736084]
44,[0.6054664],[2.0314678708814897],[0.4618332087993622],[3.035017490386963]
45,[0.60453504],[2.0251250966225753],[0.4448646605014801],[3.173511266708374]
46,[0.604771],[2.0320471042717947],[0.4495919644832611],[3.129605293273926]
47,[0.6115388],[2.0104082255057447],[0.4672074019908905],[3.112776756286621]
48,[0.6075899],[2.01692410711974],[0.4220740497112274],[2.937450885772705]
49,[0.6126565],[2.0089332253990273],[0.4565585255622864],[3.446037530899048]
50,[0.6111663],[2.0081292425877955],[0.4651174247264862],[2.815927743911743]
51,[0.6123957],[2.004001139694432],[0.45516520738601685],[3.176318883895874]
52,[0.6176858],[1.9924367956866003],[0.47253185510635376],[2.665161609649658]
53,[0.61749953],[1.9925914432948943],[0.47123804688453674],[3.067676067352295]
54,[0.61913866],[1.9900219984990617],[0.45969346165657043],[2.805999279022217]
55,[0.6201694],[1.9819975480298127],[0.4789012670516968],[3.685241937637329]
56,[0.618642],[1.985636302521469],[0.4636743664741516],[3.3637521266937256]
57,[0.6225909],[1.978380948228152],[0.47526872158050537],[3.0491068363189697]
58,[0.62201965],[1.9819879826034676],[0.4804936349391937],[3.5890629291534424]
59,[0.624615],[1.9764822012099599],[0.4608379900455475],[3.391636848449707]
60,[0.6264777],[1.975622298915036],[0.46342554688453674],[3.351327896118164]
61,[0.62512416],[1.9703602683063342],[0.46178343892097473],[3.6162655353546143]
62,[0.6254098],[1.9711592636311146],[0.4713873267173767],[3.0659050941467285]
63,[0.62580717],[1.9703446299802847],[0.46277865767478943],[2.8590216636657715]
64,[0.62790585],[1.9651871243173125],[0.46690884232521057],[3.721158266067505]
65,[0.6277071],[1.9623044943586865],[0.478204607963562],[2.895378589630127]
66,[0.6302777],[1.9610963709757527],[0.4804438650608063],[3.3126378059387207]
67,[0.6301162],[1.9518664838683646],[0.44227707386016846],[2.4903404712677]
68,[0.62839013],[1.9559457823648951],[0.4622810482978821],[3.1946322917938232]
69,[0.630675],[1.951135914486302],[0.4700935482978821],[2.9375247955322266]
70,[0.6319044],[1.9523077552559691],[0.473477303981781],[3.079343318939209]
71,[0.6353939],[1.9447984515661372],[0.47387540340423584],[3.6838154792785645]
72,[0.63428867],[1.948345397117004],[0.486017107963562],[2.9408628940582275]
73,[0.6362011],[1.9380393323381024],[0.47223326563835144],[2.841639757156372]
74,[0.633556],[1.9431267145161788],[0.4688495099544525],[3.826542377471924]
75,[0.6351207],[1.9386109383945174],[0.4523785710334778],[3.035097122192383]
76,[0.63708276],[1.9418066104790006],[0.46034038066864014],[3.4363951683044434]
77,[0.6392186],[1.9306495265460455],[0.4610370099544525],[3.192411184310913]
78,[0.63748014],[1.9333342983356507],[0.4729299247264862],[2.472846031188965]
79,[0.63900757],[1.9314723429091523],[0.479647696018219],[2.9121017456054688]
80,[0.6385605],[1.930022384545781],[0.4574044644832611],[2.865372657775879]
81,[0.639467],[1.9264535447510436],[0.4403861463069916],[2.8763391971588135]
82,[0.6394546],[1.9249873082206237],[0.4712878167629242],[2.640779733657837]
83,[0.64119315],[1.920431132466282],[0.4605891704559326],[3.6079070568084717]
84,[0.6428199],[1.9169778184343138],[0.46596336364746094],[3.18465518951416]
85,[0.64136696],[1.9214371609067245],[0.46461981534957886],[3.2211549282073975]
86,[0.6421617],[1.91759364971602],[0.4980095624923706],[3.42684006690979]
87,[0.64238524],[1.921213772101263],[0.4753682315349579],[2.406435251235962]
88,[0.6424722],[1.9151798196561811],[0.4634753167629242],[2.6956865787506104]
89,[0.6413297],[1.9148180732996118],[0.4732285141944885],[3.205127239227295]
90,[0.6493518],[1.9039830448090758],[0.47750794887542725],[2.935349941253662]
91,[0.6469551],[1.909270923179825],[0.47113853693008423],[3.5736148357391357]
92,[0.64649564],[1.9114690143404058],[0.4815386235713959],[3.446164608001709]
93,[0.6451669],[1.9087011122026145],[0.4804438650608063],[3.0012691020965576]
94,[0.64711654],[1.9012615603479741],[0.4709394872188568],[2.3839454650878906]
95,[0.64712894],[1.9050477732016604],[0.47497013211250305],[3.025017261505127]
96,[0.64417344],[1.9083304397633032],[0.47671177983283997],[3.2068212032318115]
97,[0.65195954],[1.8926765853122762],[0.4851711690425873],[2.7993741035461426]
98,[0.649389],[1.9021364213125667],[0.4776572585105896],[2.8451712131500244]
99,[0.64767534],[1.9043526283770462],[0.45536425709724426],[2.7263407707214355]
