,accuracy,loss,val_accuracy,val_loss
51,[0.6654952],[1.8514466893950063],[0.4742734730243683],[2.86944842338562]
52,[0.66338414],[1.8586475545976784],[0.49696457386016846],[2.845211982727051]
53,[0.66740763],[1.8516818681957943],[0.5015923380851746],[3.232926607131958]
54,[0.6681527],[1.845168362738194],[0.4925358295440674],[3.440005302429199]
55,[0.66626513],[1.846385570636403],[0.489102303981781],[3.165083646774292]
56,[0.6674697],[1.8477727445484557],[0.4809912443161011],[3.4496419429779053]
57,[0.66641414],[1.8486451818197878],[0.5075139403343201],[3.646313190460205]
58,[0.6681651],[1.8443749769767142],[0.471835196018219],[3.1403796672821045]
59,[0.66626513],[1.8449047327562709],[0.4819366931915283],[3.0403544902801514]
60,[0.66686124],[1.8463774748974047],[0.5068172812461853],[3.9938747882843018]
61,[0.6674449],[1.8386351857819188],[0.500199019908905],[3.858443260192871]
62,[0.66755664],[1.8395205329242814],[0.462579607963562],[2.8962321281433105]
63,[0.67081016],[1.840637906867705],[0.5002985596656799],[3.491480588912964]
64,[0.66750693],[1.8425482069074621],[0.482931911945343],[3.2185094356536865]
65,[0.67013955],[1.8441518524070633],[0.46914809942245483],[3.648244619369507]
66,[0.6683017],[1.8418271005591837],[0.49915406107902527],[3.566478729248047]
67,[0.6685625],[1.8419749544222501],[0.4590465724468231],[3.638681411743164]
68,[0.66965526],[1.8339866014638242],[0.4975616931915283],[3.564237594604492]
69,[0.6669109],[1.8355644188603706],[0.4798467457294464],[3.1014015674591064]
70,[0.6721761],[1.8292163247122293],[0.48522093892097473],[4.3458404541015625]
71,[0.6740637],[1.832517207462319],[0.46715763211250305],[3.58545184135437]
