,accuracy,loss,val_accuracy,val_loss
0,[0.5712656],[2.206266660695512],[0.4339229],[2.9049832841739747]
1,[0.7342982],[1.7156115046993823],[0.53418124],[2.466834031246804]
2,[0.77361465],[1.5944919646268279],[0.5638414],[2.4220996369239067]
3,[0.7960634],[1.525424118936668],[0.5561407],[2.4127565396798625]
4,[0.8124597],[1.475016610581126],[0.57238674],[2.375245665613153]
5,[0.82582974],[1.4383740349232739],[0.61546105],[2.2642494574639302]
6,[0.835417],[1.4091825772770081],[0.60468006],[2.273221277849473]
7,[0.84127104],[1.3875995554632803],[0.5778518],[2.427956567470144]
8,[0.8500521],[1.3630855952001384],[0.59216017],[2.356718262731555]
9,[0.85492635],[1.35009686200044],[0.5838136],[2.4367648581063617]
10,[0.8590812],[1.3341336019302803],[0.6200815],[2.2716208734269743]
11,[0.8638314],[1.3173319697232215],[0.56155604],[2.5347467130242545]
12,[0.8697723],[1.3018269734634094],[0.6103438],[2.317759126756453]
13,[0.87007],[1.2980274115076211],[0.59971184],[2.3622058576923486]
14,[0.8750682],[1.284658144803347],[0.6317568],[2.171367842082189]
15,[0.8786278],[1.2723798951725582],[0.58197534],[2.4200363835772953]
16,[0.8820385],[1.2649709905324051],[0.5276729],[2.637545017824643]
17,[0.8830555],[1.2599814136734309],[0.5884837],[2.344052540952716]
18,[0.88600737],[1.2505491810693754],[0.5557929],[2.6029946497021115]
19,[0.88898396],[1.240689273308021],[0.6012023],[2.444789380640597]
20,[0.8910428],[1.2337909285059498],[0.60413355],[2.357014335206279]
21,[0.89343655],[1.2281740565157342],[0.6094992],[2.3145934124440193]
22,[0.8952101],[1.220999469630283],[0.5883347],[2.3729268230959795]
23,[0.89813715],[1.2137244685027266],[0.5671701],[2.5111076611972196]
24,[0.8975294],[1.2105906005948228],[0.6076113],[2.3112968804347305]
25,[0.8989805],[1.2088217756048805],[0.62490064],[2.1861157923320897]
26,[0.9027757],[1.1998102458310977],[0.6395072],[2.1799559221737717]
27,[0.90157264],[1.1985072511975394],[0.6273847],[2.219033072692222]
28,[0.906112],[1.1873812402898005],[0.62341017],[2.285466413240175]
29,[0.90808403],[1.183097894982922],[0.5816276],[2.4455887662018805]
30,[0.90954757],[1.1792096864753119],[0.6177961],[2.3135275543209857]
31,[0.9089026],[1.1771726235691893],[0.52692765],[2.7824879106732356]
32,[0.91178],[1.169373564453549],[0.625],[2.240553629417298]
33,[0.9115816],[1.1694086066738696],[0.6064686],[2.3140827297974846]
