,accuracy,loss,val_accuracy,val_loss
0,[0.15761408],[2.932774106235731],[0.07203895],[3.5557347371202965]
1,[0.20422867],[2.5431419763300154],[0.07497019],[3.6124574785581265]
2,[0.23146081],[2.275676783020534],[0.07546701],[3.5430677573896934]
3,[0.2611483],[2.0560292478118622],[0.09931439],[3.5080688685794703]
4,[0.30507192],[1.8066424750619465],[0.10194754],[3.562296573232581]
5,[0.3078745],[1.7709464879263015],[0.10035771],[3.717549332374609]
6,[0.33978173],[1.6028138545060915],[0.10885334],[3.746652561454591]
7,[0.33640873],[1.5959469798301893],[0.10671701],[3.794283872188938]
8,[0.3548859],[1.5256679952617676],[0.12206876],[3.6646032799597954]
