,accuracy,loss,val_accuracy,val_loss
0,[0.70697314],[1.7858659905037915],[0.6651928],[1.91358424787112]
1,[0.8324816],[1.4028817358696406],[0.71696144],[1.7335183116324566]
2,[0.86948055],[1.2986787710191712],[0.7071244],[1.8165979295353063]
3,[0.8933816],[1.230872627122224],[0.71899843],[1.781148890906942]
4,[0.90969193],[1.1871468274218149],[0.75178856],[1.7080563561715458]
5,[0.9229014],[1.1506136258600912],[0.71174484],[1.8603108149075167]
6,[0.9362969],[1.116181316629339],[0.7503478],[1.7305781819483055]
7,[0.94759625],[1.0906406837362315],[0.70613074],[1.8907550959973722]
8,[0.956477],[1.06572195702447],[0.7420509],[1.8234383277180464]
9,[0.96257937],[1.0508162783923474],[0.7328597],[1.861666074617868]
10,[0.9687438],[1.0342468273121583],[0.74791336],[1.8003758641229335]
11,[0.97529274],[1.0174371231806423],[0.7563593],[1.7665626204828768]
12,[0.9786664],[1.0088035140181373],[0.7355922],[1.8875392621386031]
13,[0.9820401],[0.9969914285974338],[0.7491554],[1.8241030141734926]
14,[0.9858479],[0.9876000220445821],[0.7491554],[1.8621469849812398]
15,[0.9863068],[0.9826350743913963],[0.7322635],[1.8960247348715655]
16,[0.9885642],[0.9754495215832324],[0.74652225],[1.8622703875380973]
17,[0.989172],[0.9724297618601004],[0.7417031],[1.8906915630369383]
18,[0.9905611],[0.966465144539239],[0.7486089],[1.8668977033542336]
19,[0.9910324],[0.9637717955593648],[0.7199424],[2.0172277293826895]
20,[0.9920495],[0.9583593854049672],[0.75531596],[1.8309977278231817]
21,[0.9933022],[0.9532857178624459],[0.7400636],[1.918144183242264]
